"Sample date",Ramp/site,"Catch area","# Interviews (Boat or Shore)",Anglers,"Chinook (per angler)",Chinook,Coho,Chum,Pink,Sockeye,Lingcod,Halibut
"Dec 31, 2017","Olalla Public Ramp",N/A,1,1,0,0,0,0,0,0,0,0
"Dec 31, 2017","Olalla Public Ramp","Area 11, Tacoma-Vashon Island",1,1,0,0,0,0,0,0,0,0
"Dec 31, 2017","Pleasant Harbor Boat Ramp (WDFW)",N/A,2,6,0,0,0,0,0,0,0,0
"Dec 31, 2017","Pleasant Harbor Boat Ramp (WDFW)","Area 12, Hood Canal",2,6,0,0,0,0,0,0,0,0
"Dec 31, 2017","Point Defiance Boathouse",N/A,2,3,0.33,1,0,0,0,0,0,0
"Dec 31, 2017","Point Defiance Boathouse","Area 11, Tacoma-Vashon Island",2,3,0.33,1,0,0,0,0,0,0
"Dec 31, 2017","Point Defiance Public Ramp",N/A,6,13,0,0,0,0,0,0,0,0
"Dec 31, 2017","Point Defiance Public Ramp","Area 11, Tacoma-Vashon Island",6,13,0,0,0,0,0,0,0,0
"Dec 30, 2017","Kingston Public Ramp","Area 9, Admiralty Inlet",1,2,0,0,0,0,0,0,0,0
"Dec 30, 2017","Kingston Public Ramp","Area 10, Seattle-Bremerton area",6,13,0.08,1,0,0,0,0,0,0
"Dec 30, 2017","Pleasant Harbor Boat Ramp (WDFW)","Area 12, Hood Canal",2,3,0,0,0,0,0,0,0,0
"Dec 30, 2017","Point Defiance Boathouse","Area 11, Tacoma-Vashon Island",9,11,0,0,0,0,0,0,0,0
"Dec 30, 2017","Point Defiance Public Ramp","Area 11, Tacoma-Vashon Island",2,4,0,0,0,0,0,0,0,0
"Dec 30, 2017","Saltwater Park Ramp (Hood Canal Rmp Tacoma Light)","Area 12, Hood Canal",1,3,0,0,0,0,0,0,0,0
"Dec 30, 2017","Shilshole Public Ramp","Area 10, Seattle-Bremerton area",4,9,0.11,1,0,0,0,0,0,0
"Dec 29, 2017","Kingston Public Ramp","Area 10, Seattle-Bremerton area",1,2,0,0,0,0,0,0,0,0
"Dec 29, 2017","Misery Point Ramp","Area 12, Hood Canal",1,1,0,0,0,0,0,0,0,0
"Dec 29, 2017","Point Defiance Boathouse","Area 11, Tacoma-Vashon Island",1,1,0,0,0,0,0,0,0,0
"Dec 29, 2017","Point Defiance Public Ramp","Area 11, Tacoma-Vashon Island",2,4,0,0,0,0,0,0,0,0
